交易日期,收盘价,市盈率(PE),市盈率LYR,市盈率TTM加权,市盈率TTM剔除负值,市净率(LF),市净率加权,股息率,市销率(PS),市销率LYR,市销率TTM加权,市现率(PCF),市现率LYR,市现率TTM加权,调仓标志
2022/2/28,"4,581.65",13.209,15.405,38.528,12.569,1.596,6.282,2.051,1.393,1.593,7.876,8.357,7.203,40.357,--
2022/1/28,"4,563.77",13.062,15.253,38.799,12.439,1.588,6.383,2.07,1.379,1.577,8.248,8.274,7.132,41.166,--
2021/12/31,"4,940.37",14.02,16.299,44.484,13.366,1.701,7.37,1.927,1.477,1.685,9.542,8.841,7.621,48.071,成份股调整
2021/11/30,"4,832.03",12.948,14.81,41.797,12.25,1.558,6.659,2.161,1.361,1.545,8.81,8.268,7.007,49.267,--
2021/10/29,"4,908.77",13.304,15.084,40.608,12.671,1.61,6.785,2.147,1.391,1.574,8.506,9.223,7.137,47.09,--
2021/9/30,"4,866.38",13.098,15.038,40.111,12.611,1.63,6.937,2.121,1.425,1.569,9.032,9.739,7.115,81.54,--
2021/8/31,"4,805.61",12.883,14.791,41.034,12.414,1.601,6.801,2.134,1.402,1.543,8.535,9.579,6.998,90.463,--
2021/7/30,"4,811.17",13.519,14.644,47.202,13.121,1.628,7.907,2.091,1.446,1.528,10.006,11.157,6.929,102.791,--
2021/6/30,"5,224.04",14.767,15.94,45.762,14.319,1.742,8.637,2.042,1.579,1.663,10.669,12.137,7.542,82.207,成份股调整
2021/5/31,"5,331.57",14.557,15.674,40.241,14.093,1.693,7.433,1.877,1.532,1.611,9.742,11.66,7.35,87.45,--
2021/4/30,"5,123.49",13.971,15.042,36.891,13.519,1.624,6.857,2.008,1.47,1.546,8.749,11.191,7.054,75.943,--
2021/3/31,"5,048.36",15.108,15.356,40.062,14.616,1.678,6.815,1.974,1.556,1.585,8.211,7.209,7.127,44.42,--
2021/2/26,"5,336.76",16.311,15.769,48.394,15.882,1.79,7.603,1.882,1.625,1.639,9.732,7.838,12.405,49.896,--
2021/1/29,"5,351.96",16.392,15.727,54.846,15.974,1.792,8.289,1.876,1.628,1.641,10.848,8.087,12.659,55.089,--
2020/12/31,"5,211.29",16.103,15.311,51.165,15.685,1.753,7.81,1.928,1.591,1.597,10.126,7.873,12.324,51.877,成份股调整
2020/11/30,"4,960.25",15.302,14.375,41.48,14.742,1.639,6.005,2.072,1.469,1.472,8.068,7.368,11.472,41.525,--
2020/10/30,"4,695.33",14.35,13.569,39.913,13.935,1.57,6.399,2.16,1.397,1.389,8.106,7.075,10.829,40.877,--
2020/9/30,"4,587.40",14.638,13.293,45.851,13.886,1.576,6.456,2.184,1.375,1.361,8.576,7.658,10.609,41.999,--
2020/8/31,"4,816.22",15.256,13.854,49.205,14.459,1.639,6.934,2.116,1.433,1.418,9.251,7.915,11.057,47.397,--
2020/7/31,"4,695.05",13.996,13.452,63.735,13.687,1.603,7.224,2.179,1.396,1.377,9.099,7.022,10.736,122.775,--
2020/6/30,"4,163.96",12.687,12.133,51.014,12.401,1.432,6.07,2.217,1.261,1.242,7.878,6.327,9.683,79.242,成份股调整
2020/5/29,"3,867.02",11.96,11.379,41.696,11.613,1.326,4.673,2.428,1.144,1.126,6.131,5.61,8.912,48.194,--
2020/4/30,"3,912.58",12.136,11.552,40.754,11.783,1.344,4.392,2.356,1.161,1.143,5.908,5.692,9.044,46.646,--
2020/3/31,"3,686.16",11.005,11.23,39.334,10.87,1.323,4.132,2.493,1.101,1.14,5.034,8.277,10.217,32.146,--
2020/2/28,"3,940.05",11.771,12.711,42.572,11.634,1.417,4.349,2.358,1.174,1.268,5.696,10.364,10.105,28.239,--
2020/1/23,"4,003.90",12.145,13.318,42.157,12.002,1.466,4.243,2.313,1.213,1.315,5.372,10.145,10.604,26.971,--
2019/12/31,"4,096.58",12.478,13.66,35.673,12.337,1.509,4.089,2.261,1.246,1.349,5.399,10.405,10.876,26.295,成份股调整
2019/11/29,"3,828.67",11.635,12.681,25.567,11.496,1.401,3.833,2.449,1.143,1.236,4.951,9.66,10.031,24.755,--
2019/10/31,"3,886.75",11.846,12.912,26.105,11.712,1.428,3.932,2.406,1.164,1.258,5.145,9.836,10.213,24.996,--
2019/9/30,"3,814.53",11.904,12.633,28.978,11.758,1.456,3.95,2.463,1.163,1.231,5.17,7.001,9.992,23.565,--
2019/8/30,"3,799.59",11.875,12.551,29.24,11.732,1.453,4.006,2.497,1.162,1.223,5.125,7.123,9.928,24.276,--
2019/7/31,"3,835.36",12.384,12.779,25.444,12.143,1.488,3.715,2.44,1.206,1.245,4.791,6.999,10.108,50.379,--
2019/6/28,"3,825.59",12.442,12.803,25.043,12.217,1.484,3.706,2.561,1.211,1.248,4.779,7.014,10.128,52.012,成份股调整
2019/5/31,"3,629.79",11.753,12.089,22.168,11.479,1.381,3.242,2.425,1.146,1.18,4.405,6.493,9.215,51.982,--
2019/4/30,"3,913.21",12.575,12.935,23.452,12.263,1.473,3.372,2.319,1.226,1.263,4.749,6.946,9.859,56.241,--
2019/3/29,"3,872.34",12.679,13.079,31.441,12.502,1.52,3.499,2.327,1.262,1.319,5.113,10.118,9.192,33.843,--
2019/2/28,"3,669.37",12.233,13.165,27.204,12.062,1.483,3.175,2.417,1.233,1.361,4.354,8.547,13.032,35.887,--
2019/1/31,"3,201.63",10.891,11.74,21.397,10.745,1.327,2.742,2.72,1.102,1.214,3.663,7.667,11.7,28.333,--
2018/12/28,"3,010.65",10.234,11.081,20.391,10.087,1.257,2.544,2.888,1.05,1.146,3.446,7.236,11.042,27.43,成份股调整
2018/11/30,"3,172.69",10.583,11.431,21.541,10.404,1.28,2.61,2.824,1.099,1.195,3.743,7.481,11.305,29.453,--
2018/10/31,"3,153.82",10.738,11.599,20.377,10.565,1.3,2.476,2.79,1.115,1.213,3.556,7.59,11.47,27.057,--
2018/9/28,"3,438.86",11.687,12.464,27.398,11.541,1.454,3.178,2.556,1.236,1.303,4.124,10.452,12.326,34.319,--
2018/8/31,"3,334.50",11.196,11.94,27.397,11.052,1.39,3.129,2.626,1.184,1.248,4.098,10.013,11.807,33.657,--
2018/7/31,"3,517.66",12.042,12.447,23.148,11.906,1.485,3.534,2.487,1.268,1.301,4.613,11.377,12.309,35.406,--
2018/6/29,"3,510.98",11.887,12.265,23.553,11.782,1.446,3.677,2.788,1.253,1.282,4.842,11.26,12.129,36.465,成份股调整
2018/5/31,"3,802.38",12.722,13.117,25.838,12.49,1.511,3.596,2.374,1.318,1.347,5.269,12.133,13.112,42.013,--
2018/4/27,"3,756.88",12.883,13.102,26.269,12.737,1.523,3.305,2.203,1.333,1.353,5.023,11.026,13.213,41.204,--
2018/3/30,"3,898.50",13.486,13.838,29.243,13.367,1.591,3.588,2.131,1.389,1.447,5.206,11.851,9.24,32.658,--
2018/2/28,"4,023.64",14.328,16.09,28.059,14.173,1.676,3.642,2.069,1.476,1.664,4.916,8.886,5.614,256.686,--
2018/1/31,"4,275.90",15.439,17.273,29.602,15.206,1.804,3.782,1.94,1.584,1.786,5.38,9.536,6.025,266.732,--
2017/12/29,"4,030.85",14.299,15.885,28.942,14.064,1.673,3.716,2.075,1.461,1.643,5.274,8.77,5.541,291.364,成份股调整
2017/11/30,"4,006.10",14.081,15.526,28.62,13.784,1.652,3.294,2.121,1.438,1.611,4.652,8.669,5.447,372.285,--
2017/10/31,"4,006.72",14.127,15.577,28.851,13.828,1.663,3.352,2.114,1.442,1.616,4.764,8.698,5.465,253.998,--
2017/9/29,"3,836.50",14.15,15.057,44.112,13.833,1.662,3.254,2.192,1.443,1.562,4.863,9.518,5.282,57.558,--
2017/8/31,"3,822.09",14.14,15.047,44.338,13.833,1.662,3.152,2.165,1.442,1.561,4.824,9.511,5.279,59.558,--
2017/7/31,"3,737.87",14.118,14.668,35.078,13.772,1.658,3.132,2.173,1.454,1.522,4.679,5.769,5.146,34.289,--
2017/6/30,"3,666.80",13.742,14.269,33.923,13.406,1.591,3.128,1.947,1.42,1.481,4.7,5.613,5.006,35.017,成份股调整
2017/5/31,"3,492.88",13.237,13.738,33.315,12.874,1.508,2.767,2.123,1.34,1.397,4.757,5.521,5.012,33.452,--
2017/4/28,"3,439.75",13.046,13.505,35.771,12.7,1.494,2.779,2.143,1.321,1.37,5.268,5.938,4.538,28.831,--
2017/3/31,"3,456.05",13.497,13.757,43.362,12.868,1.531,2.86,2.149,1.377,1.411,5.575,5.058,3.902,33.865,--
2017/2/28,"3,452.81",13.553,13.339,37.178,12.99,1.543,2.846,2.135,1.396,1.429,5.558,6.04,3.846,37.753,成份股调整
2017/1/26,"3,387.96",13.411,13.154,36.22,12.789,1.52,2.819,2.178,1.374,1.403,5.708,6.005,3.747,36.502,--
2016/12/30,"3,310.08",12.909,12.709,35.659,12.319,1.475,2.813,2.251,1.33,1.355,5.745,5.796,3.618,36.637,成份股调整
2016/11/30,"3,538.00",13.632,13.261,41.367,12.789,1.521,2.974,2.211,1.374,1.393,6.472,5.949,3.744,36.377,--
2016/10/31,"3,336.28",12.904,12.553,39.275,12.114,1.442,2.879,2.334,1.301,1.318,5.868,5.632,3.544,35.987,--
2016/9/30,"3,253.28",12.879,12.221,61.824,12.06,1.462,2.936,2.416,1.281,1.283,5.79,6.413,3.451,33.202,--
2016/8/31,"3,327.79",13.21,12.536,63.246,12.37,1.508,3.033,2.365,1.314,1.316,6.115,6.579,3.539,34.647,--
2016/7/29,"3,203.93",12.35,12.059,41.792,11.707,1.473,3.076,2.359,1.259,1.266,5.666,4.126,3.405,64.805,--
2016/6/30,"3,153.92",11.988,11.844,38.925,11.368,1.426,3.053,2.47,1.233,1.244,5.597,4.04,3.344,62.804,成份股调整
