"Indexcd","Idxtrd01","Idxtrd08"
"000300","2008-05-05","2.441500"
"000300","2008-05-06","-1.106800"
"000300","2008-05-07","-4.726400"
"000300","2008-05-08","2.714200"
"000300","2008-05-09","-1.175000"
"000300","2008-05-12","0.670300"
"000300","2008-05-13","-1.363200"
"000300","2008-05-14","3.221700"
"000300","2008-05-15","-0.696500"
"000300","2008-05-16","-0.303200"
"000300","2008-05-19","-0.560200"
"000300","2008-05-20","-5.192800"
"000300","2008-05-21","1.946500"
"000300","2008-05-22","-1.892900"
"000300","2008-05-23","-0.977800"
"000300","2008-05-26","-3.154400"
"000300","2008-05-27","0.477100"
"000300","2008-05-28","2.797100"
"000300","2008-05-29","-2.594000"
"000300","2008-05-30","0.850600"
"000300","2008-06-02","0.401500"
"000300","2008-06-03","-0.323200"
"000300","2008-06-04","-1.859100"
"000300","2008-06-05","-0.980600"
"000300","2008-06-06","-0.644600"
"000300","2008-06-10","-8.108300"
"000300","2008-06-11","-2.066400"
"000300","2008-06-12","-1.772800"
"000300","2008-06-13","-3.420500"
"000300","2008-06-16","-0.902300"
"000300","2008-06-17","-3.711100"
"000300","2008-06-18","5.227100"
"000300","2008-06-19","-7.294200"
"000300","2008-06-20","2.761900"
"000300","2008-06-23","-2.096000"
"000300","2008-06-24","2.221600"
"000300","2008-06-25","4.124200"
"000300","2008-06-26","0.382900"
"000300","2008-06-27","-5.531500"
"000300","2008-06-30","-0.859400"
"000300","2008-07-01","-3.348000"
"000300","2008-07-02","0.046300"
"000300","2008-07-03","2.260000"
"000300","2008-07-04","-0.679600"
"000300","2008-07-07","5.139200"
"000300","2008-07-08","0.661900"
"000300","2008-07-09","3.904100"
"000300","2008-07-10","-1.373100"
"000300","2008-07-11","-0.680300"
"000300","2008-07-14","0.757400"
"000300","2008-07-15","-4.129500"
"000300","2008-07-16","-3.763800"
"000300","2008-07-17","-1.002700"
"000300","2008-07-18","3.583100"
"000300","2008-07-21","3.395200"
"000300","2008-07-22","-0.216800"
"000300","2008-07-23","-0.737400"
"000300","2008-07-24","3.261500"
"000300","2008-07-25","-1.281700"
"000300","2008-07-28","0.736600"
"000300","2008-07-29","-1.865000"
"000300","2008-07-30","-0.731300"
"000300","2008-07-31","-2.744800"
"000300","2008-08-01","1.268400"
"000300","2008-08-04","-2.381000"
"000300","2008-08-05","-2.526700"
"000300","2008-08-06","0.688500"
"000300","2008-08-07","-0.045900"
"000300","2008-08-08","-4.741100"
"000300","2008-08-11","-5.195900"
"000300","2008-08-12","-0.514900"
"000300","2008-08-13","0.020900"
"000300","2008-08-14","-0.047500"
"000300","2008-08-15","0.168200"
"000300","2008-08-18","-5.483700"
"000300","2008-08-19","1.516000"
"000300","2008-08-20","7.854900"
"000300","2008-08-21","-3.512100"
"000300","2008-08-22","-1.597800"
"000300","2008-08-25","-0.182100"
"000300","2008-08-26","-2.875200"
"000300","2008-08-27","-0.267600"
"000300","2008-08-28","0.455000"
"000300","2008-08-29","2.387500"
"000300","2008-09-01","-3.448300"
"000300","2008-09-02","-1.028900"
"000300","2008-09-03","-1.726200"
"000300","2008-09-04","0.231100"
"000300","2008-09-05","-3.008200"
"000300","2008-09-08","-2.606400"
"000300","2008-09-09","0.593900"
"000300","2008-09-10","0.188400"
"000300","2008-09-11","-3.315200"
"000300","2008-09-12","0.276000"
"000300","2008-09-16","-3.715400"
"000300","2008-09-17","-3.574300"
"000300","2008-09-18","-1.718400"
"000300","2008-09-19","9.341800"
"000300","2008-09-22","6.487800"
"000300","2008-09-23","-3.810900"
"000300","2008-09-24","0.723800"
"000300","2008-09-25","3.959100"
"000300","2008-09-26","0.905300"
"000300","2008-10-06","-5.123800"
"000300","2008-10-07","-1.233100"
"000300","2008-10-08","-3.784600"
"000300","2008-10-09","-1.363400"
"000300","2008-10-10","-4.427400"
"000300","2008-10-13","4.118100"
"000300","2008-10-14","-2.562100"
"000300","2008-10-15","-1.047200"
"000300","2008-10-16","-4.882000"
"000300","2008-10-17","0.678800"
"000300","2008-10-20","3.462100"
"000300","2008-10-21","-0.807700"
"000300","2008-10-22","-2.556100"
"000300","2008-10-23","0.079600"
"000300","2008-10-24","-2.898400"
"000300","2008-10-27","-7.124500"
"000300","2008-10-28","3.091300"
"000300","2008-10-29","-2.790400"
"000300","2008-10-30","2.378500"
"000300","2008-10-31","-2.002800"
"000300","2008-11-03","-0.608300"
"000300","2008-11-04","-1.559100"
"000300","2008-11-05","3.910900"
"000300","2008-11-06","-2.461800"
"000300","2008-11-07","1.700200"
"000300","2008-11-10","7.381000"
"000300","2008-11-11","-1.127300"
"000300","2008-11-12","1.148600"
"000300","2008-11-13","4.010400"
"000300","2008-11-14","3.712200"
"000300","2008-11-17","2.242200"
"000300","2008-11-18","-7.417900"
"000300","2008-11-19","6.160400"
"000300","2008-11-20","-1.061400"
"000300","2008-11-21","-0.604900"
"000300","2008-11-24","-4.326500"
"000300","2008-11-25","-0.182300"
"000300","2008-11-26","0.502100"
"000300","2008-11-27","1.463000"
"000300","2008-11-28","-2.167900"
"000300","2008-12-01","1.873900"
"000300","2008-12-02","0.237100"
"000300","2008-12-03","4.497400"
"000300","2008-12-04","1.549700"
"000300","2008-12-05","1.525500"
"000300","2008-12-08","4.066200"
"000300","2008-12-09","-2.586600"
"000300","2008-12-10","2.721400"
"000300","2008-12-11","-2.387400"
"000300","2008-12-12","-4.200700"
"000300","2008-12-15","0.747300"
"000300","2008-12-16","0.983300"
"000300","2008-12-17","0.349500"
"000300","2008-12-18","2.182500"
"000300","2008-12-19","0.342800"
"000300","2008-12-22","-1.684100"
"000300","2008-12-23","-4.886600"
"000300","2008-12-24","-1.661300"
"000300","2008-12-25","-0.864300"
"000300","2008-12-26","-0.463400"
"000300","2008-12-29","-0.394200"
"000300","2008-12-30","-1.149500"
"000300","2008-12-31","-0.857400"
"000300","2009-01-05","3.589100"
"000300","2009-01-06","3.178000"
"000300","2009-01-07","-0.598100"
"000300","2009-01-08","-2.236500"
"000300","2009-01-09","1.609100"
"000300","2009-01-12","0.120900"
"000300","2009-01-13","-2.316900"
"000300","2009-01-14","4.213300"
"000300","2009-01-15","-0.018900"
"000300","2009-01-16","1.807800"
"000300","2009-01-19","1.118500"
"000300","2009-01-20","0.632100"
"000300","2009-01-21","-0.171800"
"000300","2009-01-22","1.129700"
"000300","2009-01-23","-0.580600"
"000300","2009-02-02","1.199400"
"000300","2009-02-03","2.520600"
"000300","2009-02-04","2.726500"
"000300","2009-02-05","-0.712700"
"000300","2009-02-06","4.012600"
"000300","2009-02-09","2.654600"
"000300","2009-02-10","1.310200"
"000300","2009-02-11","0.188200"
"000300","2009-02-12","-0.549100"
"000300","2009-02-13","3.482200"
"000300","2009-02-16","2.633500"
"000300","2009-02-17","-3.125600"
"000300","2009-02-18","-4.588500"
"000300","2009-02-19","0.991700"
"000300","2009-02-20","1.997500"
"000300","2009-02-23","2.822100"
"000300","2009-02-24","-4.506600"
"000300","2009-02-25","0.104300"
"000300","2009-02-26","-4.950000"
"000300","2009-02-27","-2.269200"
"000300","2009-03-02","1.129600"
"000300","2009-03-03","-1.040300"
"000300","2009-03-04","6.675500"
"000300","2009-03-05","0.865200"
"000300","2009-03-06","-0.795700"
"000300","2009-03-09","-3.675800"
"000300","2009-03-10","1.736600"
"000300","2009-03-11","-0.910400"
"000300","2009-03-12","-0.210800"
"000300","2009-03-13","-0.464000"
"000300","2009-03-16","1.641000"
"000300","2009-03-17","3.604100"
"000300","2009-03-18","0.441400"
"000300","2009-03-19","2.139600"
"000300","2009-03-20","-0.114200"
"000300","2009-03-23","2.502700"
"000300","2009-03-24","0.507500"
"000300","2009-03-25","-2.057700"
"000300","2009-03-26","3.267400"
"000300","2009-03-27","0.771800"
"000300","2009-03-30","-0.577800"
"000300","2009-03-31","0.937800"
